fiscal_quarter,period_ending,total_revenue_m,revenue_growth_yoy_pct,gross_profit_m,operating_income_m,elastic_cloud_m,other_subscription_m,professional_services_m
Q2 2022,2021-10-31,205.98,42.16,152.28,-35.13,69.03,121.23,15.72
Q3 2022,2022-01-31,223.94,42.54,162.92,-43.12,80.40,129.21,14.33
Q4 2022,2022-04-30,239.36,34.76,172.32,-56.99,87.65,134.06,17.64
Q1 2023,2022-07-31,250.08,29.51,177.10,-58.12,97.73,134.09,18.27
Q2 2023,2022-10-31,264.40,28.36,189.64,-47.34,103.24,137.97,23.19
Q3 2023,2023-01-31,274.57,22.61,199.36,-38.64,110.74,144.87,18.95
Q4 2023,2023-04-30,279.94,16.96,207.10,-37.79,112.34,143.78,23.82
Q1 2024,2023-07-31,293.75,17.46,216.69,-34.74,121.17,149.08,23.51
Q2 2024,2023-10-31,310.61,17.48,230.74,-20.73,134.99,152.75,22.87
Q3 2024,2024-01-31,327.96,19.45,243.63,-25.72,143.38,164.25,20.33
Q4 2024,2024-04-30,335.00,19.67,248.04,-41.34,147.98,163.00,24.02
Q1 2025,2024-07-31,347.42,18.27,256.21,-33.65,157.28,166.49,23.65
Q2 2025,2024-10-31,365.36,17.63,272.42,-4.24,168.84,171.97,24.55
Q3 2025,2025-01-31,382.08,16.50,285.26,-4.61,180.00,178.20,23.89
Q4 2025,2025-04-30,388.43,15.95,291.17,-11.52,181.51,180.23,26.69
Q1 2026,2025-07-31,415.29,19.54,318.99,-9.31,195.77,192.81,26.71
Q2 2026,2025-10-31,423.48,15.91,321.84,-7.60,205.65,192.05,25.78
Q3 2026,2026-01-31,449.88,17.74,343.70,1.05,218.49,207.24,24.15
Q4 2026,2026-04-30,450.68,16.03,340.06,-15.85,217.36,205.09,28.24
Q1 2027,2026-07-31,478.11,15.13,356.57,-2.90,235.21,213.53,29.38
